,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
5110,SG,195.0,180.0,Dwyane Wade,4,MISSED
5112,PG,303.0,251.0,Rajon Rondo,4,MISSED
5113,SG,211.0,282.0,Jimmy Butler,4,MISSED
5114,PF,107.0,477.0,Nikola Mirotic,4,SCORED
5115,SG,51.0,236.0,Dwyane Wade,4,SCORED
5116,SG,40.0,396.0,Jimmy Butler,4,SCORED
5118,C,51.0,270.0,Robin Lopez,1,MISSED
5119,SG,107.0,269.0,Dwyane Wade,1,MISSED
5121,SG,45.0,250.0,Jimmy Butler,1,SCORED
5122,C,107.0,256.0,Robin Lopez,1,MISSED
5123,SG,56.0,242.0,Dwyane Wade,1,SCORED
5125,SG,67.0,230.0,Jimmy Butler,1,MISSED
5127,C,254.0,244.0,Robin Lopez,1,SCORED
5129,SG,52.0,250.0,Jimmy Butler,1,MISSED
5130,C,103.0,272.0,Robin Lopez,1,SCORED
5131,PG,53.0,260.0,Rajon Rondo,1,BLOCKED
5132,SG,45.0,99.0,Dwyane Wade,1,MISSED
5133,SG,116.0,267.0,Jimmy Butler,1,MISSED
5134,C,107.0,311.0,Robin Lopez,1,MISSED
5135,C,98.0,283.0,Robin Lopez,1,SCORED
5136,C,249.0,241.0,Robin Lopez,1,MISSED
5137,PF,269.0,141.0,Nikola Mirotic,1,MISSED
5138,SG,58.0,262.0,Jimmy Butler,1,MISSED
5140,PG,64.0,270.0,Rajon Rondo,1,SCORED
5142,PG,77.0,250.0,Rajon Rondo,1,SCORED
5143,PG,265.0,105.0,Rajon Rondo,1,MISSED
5148,PG,82.0,316.0,Rajon Rondo,2,SCORED
5149,PG,47.0,233.0,Rajon Rondo,2,MISSED
5152,PG,50.0,260.0,Rajon Rondo,2,SCORED
5156,SG,53.0,113.0,Dwyane Wade,2,SCORED
5158,SG,62.0,260.0,Dwyane Wade,2,MISSED
5159,SG,254.0,100.0,Jimmy Butler,2,MISSED
5161,SG,92.0,239.0,Dwyane Wade,2,MISSED
5162,SG,58.0,256.0,Jimmy Butler,2,SCORED
5163,C,107.0,239.0,Robin Lopez,2,MISSED
5164,SG,113.0,120.0,Dwyane Wade,2,SCORED
5165,PG,50.0,228.0,Rajon Rondo,2,MISSED
5166,C,107.0,251.0,Robin Lopez,2,MISSED
5167,SG,52.0,250.0,Dwyane Wade,2,SCORED
5168,PG,58.0,262.0,Rajon Rondo,2,MISSED
5169,C,67.0,274.0,Robin Lopez,2,SCORED
5170,SG,62.0,264.0,Dwyane Wade,2,SCORED
5171,C,851.0,251.0,Robin Lopez,3,MISSED
5172,SG,868.0,171.0,Jimmy Butler,3,SCORED
5174,C,701.0,248.0,Robin Lopez,3,SCORED
5176,C,676.0,226.0,Robin Lopez,3,MISSED
5177,C,819.0,262.0,Robin Lopez,3,BLOCKED
5179,SG,895.0,240.0,Jimmy Butler,3,MISSED
5180,SG,797.0,380.0,Dwyane Wade,3,MISSED
5182,PG,890.0,20.0,Rajon Rondo,3,SCORED
5183,SG,784.0,190.0,Jimmy Butler,3,MISSED
5184,PG,666.0,241.0,Rajon Rondo,3,SCORED
5185,PG,824.0,380.0,Rajon Rondo,3,SCORED
5186,PG,642.0,282.0,Rajon Rondo,3,MISSED
5187,SG,832.0,154.0,Jimmy Butler,3,MISSED
5188,SG,671.0,259.0,Jimmy Butler,3,MISSED
5189,PG,881.0,228.0,Rajon Rondo,3,SCORED
5190,PF,783.0,274.0,Nikola Mirotic,3,SCORED
5191,SG,507.0,76.0,Jimmy Butler,3,MISSED
5194,PG,799.0,347.0,Rajon Rondo,4,MISSED
5195,SG,709.0,424.0,Dwyane Wade,4,SCORED
5196,PF,661.0,395.0,Nikola Mirotic,4,SCORED
5199,PF,905.0,483.0,Nikola Mirotic,4,MISSED
5200,SG,876.0,220.0,Dwyane Wade,4,SCORED
5201,SG,819.0,228.0,Dwyane Wade,4,MISSED
5203,SG,684.0,398.0,Dwyane Wade,4,SCORED
5213,SG,59.0,403.0,Dwyane Wade,1,MISSED
5214,C,64.0,244.0,Robin Lopez,1,SCORED
5215,C,53.0,241.0,Robin Lopez,1,MISSED
5216,C,87.0,223.0,Robin Lopez,1,MISSED
5218,SG,113.0,172.0,Dwyane Wade,1,MISSED
5219,C,234.0,239.0,Robin Lopez,1,MISSED
5222,SG,58.0,223.0,Jimmy Butler,1,SCORED
5224,SG,62.0,262.0,Jimmy Butler,1,MISSED
5226,SG,89.0,391.0,Jimmy Butler,1,MISSED
5227,C,89.0,216.0,Robin Lopez,1,BLOCKED
5228,SG,264.0,259.0,Jimmy Butler,1,MISSED
5229,SG,87.0,300.0,Jimmy Butler,1,SCORED
5230,C,97.0,254.0,Robin Lopez,1,SCORED
5231,PF,200.0,339.0,Nikola Mirotic,1,MISSED
5235,PF,288.0,344.0,Nikola Mirotic,2,MISSED
5236,PF,79.0,250.0,Nikola Mirotic,2,BLOCKED
5239,SG,151.0,278.0,Dwyane Wade,2,MISSED
5240,SG,67.0,351.0,Dwyane Wade,2,SCORED
5242,SG,148.0,205.0,Dwyane Wade,2,SCORED
5244,SG,62.0,226.0,Dwyane Wade,2,MISSED
5248,SG,298.0,272.0,Dwyane Wade,2,MISSED
5251,SG,77.0,329.0,Jimmy Butler,2,SCORED
5252,SG,64.0,246.0,Jimmy Butler,2,SCORED
5253,SG,131.0,121.0,Jimmy Butler,2,MISSED
5254,SG,878.0,250.0,Jimmy Butler,3,SCORED
5255,C,878.0,135.0,Robin Lopez,3,MISSED
5256,SG,715.0,292.0,Dwyane Wade,3,SCORED
5257,C,706.0,218.0,Robin Lopez,3,SCORED
5258,SG,878.0,236.0,Jimmy Butler,3,MISSED
5259,SG,714.0,326.0,Dwyane Wade,3,MISSED
5261,SG,714.0,163.0,Jimmy Butler,3,MISSED
5262,SG,873.0,274.0,Dwyane Wade,3,MISSED
5265,C,853.0,259.0,Robin Lopez,3,SCORED
5266,C,730.0,360.0,Robin Lopez,3,MISSED
5267,SG,887.0,236.0,Dwyane Wade,3,SCORED
5268,C,828.0,280.0,Robin Lopez,3,BLOCKED
5270,SG,833.0,267.0,Jimmy Butler,3,SCORED
5271,C,684.0,264.0,Robin Lopez,3,SCORED
5272,PG,882.0,266.0,Rajon Rondo,3,SCORED
5273,C,833.0,266.0,Robin Lopez,3,MISSED
5274,PG,871.0,251.0,Rajon Rondo,3,SCORED
5275,C,735.0,356.0,Robin Lopez,3,MISSED
5276,PG,878.0,233.0,Rajon Rondo,3,SCORED
5277,C,876.0,240.0,Robin Lopez,3,MISSED
5278,PF,882.0,269.0,Nikola Mirotic,3,SCORED
5279,PG,738.0,238.0,Rajon Rondo,4,MISSED
5281,PF,652.0,176.0,Nikola Mirotic,4,MISSED
5282,SG,745.0,107.0,Dwyane Wade,4,MISSED
5283,PF,900.0,10.0,Nikola Mirotic,4,BLOCKED
5284,PG,652.0,146.0,Rajon Rondo,4,MISSED
5285,PF,890.0,477.0,Nikola Mirotic,4,SCORED
5286,SG,652.0,161.0,Dwyane Wade,4,MISSED
5290,SG,887.0,490.0,Dwyane Wade,4,BLOCKED
5291,SG,720.0,213.0,Dwyane Wade,4,SCORED
5293,SG,843.0,184.0,Jimmy Butler,4,MISSED
5294,SG,660.0,145.0,Jimmy Butler,4,MISSED
5297,C,51.0,54.0,Robin Lopez,1,SCORED
5298,C,246.0,248.0,Robin Lopez,1,SCORED
5299,SG,118.0,411.0,Jimmy Butler,1,SCORED
5303,C,58.0,234.0,Robin Lopez,1,SCORED
5305,C,72.0,180.0,Robin Lopez,1,MISSED
5306,SG,207.0,35.0,Dwyane Wade,1,SCORED
5307,SG,190.0,329.0,Dwyane Wade,1,MISSED
5308,C,220.0,248.0,Robin Lopez,1,MISSED
5310,SG,50.0,260.0,Jimmy Butler,1,SCORED
5311,C,102.0,278.0,Robin Lopez,1,SCORED
5313,PG,62.0,220.0,Rajon Rondo,1,MISSED
5315,C,244.0,252.0,Robin Lopez,1,SCORED
